,0
0,12678133.0
1,12632482.0
2,12585741.0
3,12611205.0
4,12536125.0
5,12505425.0
6,12434504.0
7,12369619.0
8,12385085.0
9,12375514.0
10,12301269.0
11,12318949.0
12,12304942.0
13,12252802.0
14,12225689.0
15,12240064.0
16,12157497.0
17,12191286.0
18,12113410.0
19,12059392.0
20,12002236.0
21,11990111.0
22,11987444.0
23,12024699.0
24,11903103.0
25,12011094.0
26,11831016.0
27,11930464.0
28,11881426.0
29,11912248.0
30,11769648.0
31,11822499.0
32,11827782.0
33,11852058.0
34,11801886.0
35,11697204.0
36,11723159.0
37,11636014.0
38,11448874.0
39,11120128.0
40,10475960.0
41,9099625.0
42,7507620.0
43,5852705.0
44,7142453.0
45,7446610.0
46,7681962.0
47,7247597.0
48,8092010.0
49,8852237.0
50,8151167.0
51,7981733.0
52,7079237.0
53,6828644.0
54,5724565.0
55,5449994.0
56,4806809.0
57,3881280.0
58,3851482.0
59,3597854.0
60,3552727.0
61,3732234.0
62,3622658.0
63,4051591.0
64,4223891.0
65,4273495.0
66,4160448.0
67,4011458.0
68,3926971.0
69,3845421.0
70,3698764.0
71,3632582.0
72,3204116.0
73,2991382.0
74,2622132.0
75,2548862.0
76,2188194.0
77,2106642.0
78,2312562.0
79,2361218.0
80,2167605.0
81,1603969.0
82,1281457.0
83,1217011.0
84,1213034.0
85,957649.0
86,786045.0
87,785966.0
88,446875.0
89,409497.0
90,537211.0
91,343369.0
92,457816.0
93,697051.0
94,621888.0
95,472090.0
96,409339.0
97,507413.0
98,309580.0
99,141068.0
100,197211.0
101,84248.0
102,127579.0
103,56109.0
104,93663.0
105,80459.0
106,93277.0
107,129710.0
108,154866.0
109,124875.0
110,149680.0
111,90704.0
112,97631.0
113,159472.0
114,132703.0
115,69125.0
116,157429.0
117,127175.0
118,133469.0
119,135001.0
120,109581.0
121,83814.0
122,131075.0
123,126725.0
124,69334.0
125,111909.0
126,104829.0
127,121611.0
128,115451.0
129,123542.0
130,82445.0
131,151662.0
132,152076.0
133,159192.0
134,91908.0
135,92067.0
136,127949.0
137,128154.0
138,151431.0
139,85396.0
140,78062.0
141,68335.0
142,173571.0
143,138407.0
144,158505.0
145,144840.0
146,120358.0
147,131062.0
148,105438.0
149,182621.0
150,100877.0
151,93900.0
152,64252.0
153,143754.0
154,140936.0
155,108777.0
156,161949.0
157,76058.0
158,155783.0
159,149690.0
160,124616.0
161,66757.0
162,147672.0
163,122441.0
164,93904.0
165,76694.0
166,108552.0
167,77260.0
168,97802.0
169,154448.0
170,100023.0
171,114631.0
172,92495.0
173,82278.0
174,121821.0
175,118961.0
176,72687.0
177,115383.0
178,125890.0
179,166468.0
180,145602.0
181,98608.0
182,85416.0
183,132293.0
184,61677.0
185,186965.0
186,150130.0
187,124965.0
188,170635.0
189,137874.0
190,177675.0
191,86433.0
192,112345.0
193,160934.0
194,89967.0
195,98230.0
196,189010.0
197,145957.0
198,126570.0
199,98642.0
200,116450.0
201,113875.0
202,128108.0
203,81263.0
204,91882.0
205,56324.0
206,140898.0
207,93480.0
208,121792.0
209,119494.0
210,113077.0
211,172303.0
212,120197.0
213,211180.0
214,54107.0
215,115801.0
216,142144.0
217,134617.0
218,147941.0
219,99444.0
220,139167.0
221,117025.0
222,93904.0
223,137342.0
224,109899.0
225,164570.0
226,110940.0
227,163661.0
228,106003.0
229,155355.0
230,69726.0
231,109406.0
232,124746.0
233,33725.0
234,163828.0
235,85448.0
236,70096.0
237,117972.0
238,147236.0
239,135575.0
240,115423.0
241,102763.0
242,108954.0
243,94660.0
244,38897.0
245,170970.0
246,149911.0
247,132287.0
248,144884.0
249,101442.0
250,105991.0
251,100007.0
252,94276.0
253,84003.0
254,158509.0
255,149188.0
256,108166.0
257,114072.0
258,73089.0
259,91533.0
260,118205.0
261,119956.0
262,150874.0
263,102083.0
264,88793.0
265,21193.0
266,137055.0
267,112353.0
268,203314.0
269,76684.0
270,131847.0
271,180737.0
272,130265.0
273,88756.0
274,93890.0
275,87792.0
276,128723.0
277,56312.0
278,164209.0
279,99830.0
280,104825.0
281,117986.0
282,95032.0
283,147014.0
284,89942.0
285,66942.0
286,105860.0
287,84031.0
288,126723.0
289,79062.0
290,164455.0
291,113127.0
292,96658.0
293,167589.0
294,185580.0
295,43377.0
296,121800.0
297,97002.0
298,128387.0
299,60670.0
300,170156.0
301,114082.0
302,142080.0
303,146390.0
304,134450.0
305,139905.0
306,109356.0
307,106610.0
308,114412.0
309,127746.0
310,112078.0
311,121564.0
312,128715.0
313,121170.0
314,144299.0
315,117743.0
316,139770.0
317,79285.0
318,89721.0
319,135274.0
320,151783.0
321,110697.0
322,112665.0
323,78103.0
324,87786.0
325,182728.0
326,93269.0
327,86978.0
328,129925.0
329,139129.0
330,142629.0
331,154828.0
332,130662.0
333,182566.0
334,23181.0
335,157128.0
336,179179.0
337,96409.0
338,109929.0
339,138149.0
340,110920.0
341,110966.0
342,101253.0
343,87140.0
344,99233.0
345,87968.0
346,59665.0
347,96998.0
348,147535.0
349,88749.0
350,121168.0
351,147551.0
352,169921.0
353,108785.0
354,122385.0
355,102803.0
356,113529.0
357,132558.0
358,106236.0
359,106715.0
360,143843.0
361,67947.0
362,90144.0
363,82238.0
364,103438.0
365,98411.0
366,45958.0
367,108600.0
368,170685.0
369,148317.0
370,141553.0
371,149563.0
372,144174.0
373,150659.0
374,76667.0
375,138188.0
376,124883.0
377,155791.0
378,172826.0
379,150536.0
380,135955.0
381,86592.0
382,101155.0
383,40487.0
384,119816.0
385,118569.0
386,89356.0
387,143885.0
388,165661.0
389,195116.0
390,112472.0
391,103207.0
392,10547.0
393,118022.0
394,146319.0
395,127690.0
396,183634.0
397,110148.0
398,196985.0
399,122549.0
