,filename,ratio,weight,seed,min
2731,N-t1d100.01,0.4,0.9,6,77451.0
2732,N-t1d100.01,0.3,0.9,8,77461.0
2733,N-t1d100.02,0.2,0.99,4,77490.0
2734,N-t1d100.01,0.4,0.9,3,77530.0
2735,N-t1d100.01,0.4,0.9,0,77539.0
2736,N-t1d100.01,0.1,0.7,9,77539.0
2737,N-t1d100.02,0.1,0.9,1,77550.0
2738,N-t1d100.01,0.3,0.9,9,77567.0
2739,N-t1d100.02,0.3,0.8,0,77572.0
2740,N-t1d100.01,0.1,0.8,5,77573.0
2741,N-t1d100.01,0.5,0.9,3,77576.0
2742,N-t1d100.01,0.5,0.99,3,77581.0
2743,N-t1d100.01,0.3,0.9,0,77582.0
2744,N-t1d100.01,0.1,0.8,8,77595.0
2745,N-t1d100.02,0.3,0.99,1,77610.0
2746,N-t1d100.02,0.2,0.7,8,77611.0
2747,N-t1d100.02,0.2,0.9,7,77616.0
2748,N-t1d100.02,0.3,0.8,5,77629.0
2749,N-t1d100.02,0.1,0.7,5,77629.0
2750,N-t1d100.02,0.3,0.99,0,77645.0
2751,N-t1d100.02,0.1,0.8,8,77648.0
2752,N-t1d100.01,0.1,0.7,7,77657.0
2753,N-t1d100.02,0.2,0.99,6,77674.0
2754,N-t1d100.01,0.3,0.8,9,77674.0
2755,N-t1d100.02,0.1,0.7,8,77689.0
2756,N-t1d100.02,0.4,0.99,5,77702.0
2757,N-t1d100.02,0.1,0.8,0,77714.0
2758,N-t1d100.02,0.3,0.99,2,77730.0
2759,N-t1d100.02,0.4,0.99,4,77730.0
2760,N-t1d100.02,0.1,0.7,1,77736.0
2761,N-t1d100.01,0.2,0.8,2,77784.0
2762,N-t1d100.01,0.2,0.7,9,77798.0
2763,N-t1d100.02,0.5,0.99,8,77831.0
2764,N-t1d100.01,0.2,0.7,4,77842.0
2765,N-t1d100.01,0.3,0.7,1,77859.0
2766,N-t1d100.02,0.4,0.99,8,77872.0
2767,N-t1d100.02,0.2,0.9,0,77897.0
2768,N-t1d100.02,0.5,0.99,3,77898.0
2769,N-t1d100.01,0.3,0.8,4,77904.0
2770,N-t1d100.02,0.5,0.99,4,77934.0
2771,N-t1d100.02,0.2,0.8,3,77940.0
2772,N-t1d100.01,0.2,0.6,1,77962.0
2773,N-t1d100.01,0.3,0.99,2,77964.0
2774,N-t1d100.01,0.2,0.7,1,77976.0
2775,N-t1d100.02,0.1,0.6,2,78009.0
2776,N-t1d100.01,0.4,0.7,1,78010.0
2777,N-t1d100.01,0.2,0.8,0,78025.0
2778,N-t1d100.01,0.4,0.9,2,78025.0
2779,N-t1d100.02,0.2,0.8,6,78039.0
2780,N-t1d100.01,0.3,0.7,4,78040.0
2781,N-t1d100.01,0.1,0.6,7,78049.0
2782,N-t1d100.02,0.1,0.8,1,78052.0
2783,N-t1d100.02,0.1,0.9,2,78068.0
2784,N-t1d100.02,0.3,0.9,1,78147.0
2785,N-t1d100.02,0.1,0.6,3,78167.0
2786,N-t1d100.01,0.1,0.6,3,78183.0
2787,N-t1d100.02,0.1,0.99,8,78198.0
2788,N-t1d100.02,0.4,0.9,5,78200.0
2789,N-t1d100.02,0.1,0.9,5,78211.0
2790,N-t1d100.02,0.2,0.8,5,78221.0
2791,N-t1d100.02,0.1,0.99,4,78224.0
2792,N-t1d100.01,0.3,0.9,5,78228.0
2793,N-t1d100.02,0.2,0.8,0,78244.0
2794,N-t1d100.02,0.2,0.99,0,78256.0
2795,N-t1d100.02,0.3,0.99,3,78270.0
2796,N-t1d100.01,0.1,0.6,5,78314.0
2797,N-t1d100.02,0.3,0.99,9,78325.0
2798,N-t1d100.02,0.1,0.6,1,78326.0
2799,N-t1d100.02,0.5,0.99,6,78333.0
2800,N-t1d100.02,0.1,0.7,0,78350.0
2801,N-t1d100.02,0.2,0.9,4,78360.0
2802,N-t1d100.01,0.2,0.7,3,78388.0
2803,N-t1d100.01,0.2,0.8,6,78435.0
2804,N-t1d100.02,0.1,0.7,4,78469.0
2805,N-t1d100.02,0.4,0.9,9,78478.0
2806,N-t1d100.02,0.2,0.7,9,78503.0
2807,N-t1d100.01,0.3,0.8,0,78530.0
2808,N-t1d100.02,0.1,0.6,9,78559.0
2809,N-t1d100.02,0.4,0.8,9,78576.0
2810,N-t1d100.02,0.1,0.8,6,78579.0
2811,N-t1d100.01,0.2,0.7,0,78586.0
2812,N-t1d100.01,0.4,0.9,7,78607.0
2813,N-t1d100.01,0.1,0.6,6,78615.0
2814,N-t1d100.02,0.3,0.7,9,78620.0
2815,N-t1d100.02,0.2,0.7,2,78634.0
2816,N-t1d100.02,0.2,0.9,3,78654.0
2817,N-t1d100.01,0.2,0.7,5,78655.0
2818,N-t1d100.02,0.3,0.9,0,78668.0
2819,N-t1d100.02,0.1,0.7,7,78692.0
2820,N-t1d100.02,0.3,0.9,3,78701.0
2821,N-t1d100.02,0.4,0.9,8,78706.0
2822,N-t1d100.02,0.5,0.9,1,78728.0
2823,N-t1d100.02,0.3,0.9,4,78799.0
2824,N-t1d100.02,0.3,0.99,8,78806.0
2825,N-t1d100.02,0.3,0.9,8,78833.0
2826,N-t1d100.02,0.3,0.8,1,78833.0
2827,N-t1d100.01,0.4,0.9,8,78867.0
2828,N-t1d100.01,0.3,0.8,1,78869.0
2829,N-t1d100.02,0.2,0.8,4,78872.0
2830,N-t1d100.02,0.3,0.7,8,78873.0
2831,N-t1d100.02,0.2,0.8,9,78917.0
2832,N-t1d100.02,0.3,0.8,3,78919.0
2833,N-t1d100.01,0.2,0.8,9,78941.0
2834,N-t1d100.02,0.4,0.99,2,78943.0
2835,N-t1d100.02,0.5,0.99,7,78953.0
2836,N-t1d100.01,0.3,0.7,9,78956.0
2837,N-t1d100.02,0.5,0.9,5,78957.0
2838,N-t1d100.01,0.2,0.6,6,78968.0
2839,N-t1d100.02,0.3,0.9,7,78969.0
2840,N-t1d100.01,0.5,0.99,9,78983.0
2841,N-t1d100.02,0.4,0.99,1,78984.0
2842,N-t1d100.01,0.3,0.7,3,78991.0
2843,N-t1d100.01,0.3,0.8,8,79023.0
2844,N-t1d100.02,0.3,0.7,1,79082.0
2845,N-t1d100.02,0.2,0.99,7,79089.0
2846,N-t1d100.01,0.3,0.8,2,79098.0
2847,N-t1d100.02,0.2,0.7,1,79106.0
2848,N-t1d100.02,0.2,0.9,2,79142.0
2849,N-t1d100.01,0.4,0.9,5,79148.0
2850,N-t1d100.01,0.4,0.8,9,79174.0
2851,N-t1d100.01,0.3,0.8,6,79179.0
2852,N-t1d100.01,0.1,0.6,9,79283.0
2853,N-t1d100.02,0.4,0.9,4,79297.0
2854,N-t1d100.02,0.3,0.8,4,79303.0
2855,N-t1d100.01,0.4,0.8,1,79319.0
2856,N-t1d100.02,0.4,0.9,0,79337.0
2857,N-t1d100.01,0.2,0.7,6,79337.0
2858,N-t1d100.02,0.5,0.9,9,79348.0
2859,N-t1d100.01,0.3,0.7,6,79356.0
2860,N-t1d100.01,0.4,0.8,5,79357.0
2861,N-t1d100.01,0.5,0.8,1,79390.0
2862,N-t1d100.02,0.2,0.6,6,79392.0
2863,N-t1d100.02,0.3,0.8,8,79407.0
2864,N-t1d100.01,0.5,0.9,2,79413.0
2865,N-t1d100.02,0.2,0.99,1,79421.0
2866,N-t1d100.02,0.2,0.6,5,79441.0
2867,N-t1d100.02,0.1,0.99,9,79453.0
2868,N-t1d100.01,0.4,0.7,9,79493.0
2869,N-t1d100.01,0.5,0.9,5,79495.0
2870,N-t1d100.02,0.2,0.6,8,79508.0
2871,N-t1d100.02,0.3,0.9,5,79520.0
2872,N-t1d100.01,0.4,0.6,1,79556.0
2873,N-t1d100.01,0.3,0.6,1,79572.0
2874,N-t1d100.02,0.2,0.6,9,79597.0
2875,N-t1d100.01,0.3,0.8,7,79598.0
2876,N-t1d100.02,0.2,0.6,1,79601.0
2877,N-t1d100.02,0.4,0.9,1,79644.0
2878,N-t1d100.01,0.5,0.9,0,79654.0
2879,N-t1d100.02,0.4,0.9,7,79664.0
2880,N-t1d100.02,0.3,0.8,9,79671.0
2881,N-t1d100.02,0.3,0.8,2,79710.0
2882,N-t1d100.02,0.4,0.8,1,79838.0
2883,N-t1d100.01,0.2,0.6,3,79840.0
2884,N-t1d100.02,0.2,0.7,5,79850.0
2885,N-t1d100.02,0.4,0.9,2,79872.0
2886,N-t1d100.02,0.3,0.6,5,79890.0
2887,N-t1d100.02,0.1,0.6,6,79892.0
2888,N-t1d100.01,0.4,0.7,4,79892.0
2889,N-t1d100.02,0.2,0.7,6,79911.0
2890,N-t1d100.02,0.2,0.7,4,79912.0
2891,N-t1d100.02,0.4,0.8,5,79928.0
2892,N-t1d100.01,0.4,0.8,0,79941.0
2893,N-t1d100.01,0.2,0.6,9,79943.0
2894,N-t1d100.02,0.3,0.9,2,79944.0
2895,N-t1d100.02,0.4,0.9,6,79962.0
2896,N-t1d100.01,0.3,0.8,3,79963.0
2897,N-t1d100.02,0.5,0.9,4,79985.0
2898,N-t1d100.02,0.3,0.7,5,79993.0
2899,N-t1d100.01,0.2,0.6,7,79995.0
2900,N-t1d100.02,0.3,0.8,6,80002.0
2901,N-t1d100.02,0.3,0.6,4,80016.0
2902,N-t1d100.02,0.2,0.8,2,80022.0
2903,N-t1d100.02,0.4,0.8,0,80032.0
2904,N-t1d100.02,0.1,0.6,7,80036.0
2905,N-t1d100.02,0.5,0.8,5,80058.0
2906,N-t1d100.01,0.3,0.7,5,80062.0
2907,N-t1d100.01,0.3,0.7,8,80076.0
2908,N-t1d100.01,0.3,0.6,4,80080.0
2909,N-t1d100.01,0.2,0.6,0,80080.0
2910,N-t1d100.01,0.2,0.6,4,80107.0
